,location,name,price,space,latitude,longitude
351,"Lublin, Śródmieście","Mieszkanie, 35 m², Lublin",2200.0,35,51.2472348,22.5555465
352,"Lublin, Śródmieście, Niecała","Mieszkanie, 36 m², Lublin",2200.0,36,51.2511754,22.560845
353,"Lublin, Centrum",Apartament w Centrum wysoki standard,2200.0,57,52.0339822,23.1192263
354,"Lublin, Centrum","Mieszkanie, 60 m², Lublin",2200.0,60,52.0339822,23.1192263
355,"Lublin, Centrum, Boczna Lubomelskiej",Comfortable new apartment in the city center,2200.0,65,-1.0,-1.0
356,"Lublin, Centrum",Apartament w Centrum wysoki standard,2200.0,57,52.0339822,23.1192263
357,"Lublin, Ponikwoda","Mieszkanie, 68,80 m², Lublin",2200.0,68.8,51.2658578,22.5910126
358,"Lublin, Centrum",Apartament w Centrum wysoki standard,2200.0,57,52.0339822,23.1192263
359,"Lublin, Śródmieście, Sapiehy","Mieszkanie, 63 m², Lublin",2200.0,63,51.2600926,22.5715701
360,"Lublin, Rudnik, Laurowa",2 pokoje Rudnik,1300.0,48,51.2764783,22.5814438
361,"Lublin, LSM,  Pielgrzymia","2-pokojowe mieszkanie, Lublin Lsm, ul. Pielgrzymia",1500.0,44,-1.0,-1.0
362,"Lublin, Centrum, Szeligowskiego 8","Apart. z miejscem parking, z widokiem na Lublin",3150.0,54,-1.0,-1.0
363,"Lublin, Czechów, Stanisława Szpinalskiego","Mieszkanie, 69 m², Lublin",2200.0,69,51.2736016,22.5512757
364,"Lublin, Śródmieście, Sapiehy","Mieszkanie, 63 m², Lublin",2200.0,63,51.2600926,22.5715701
365,"Lublin, Kalinowszczyzna, Niepodległości","Mieszkanie, 100 m², Lublin",2200.0,100,51.2580556,22.5925
366,"Lublin, Centrum, Krucza","Mieszkanie, 101 m², Lublin",2200.0,101,-1.0,-1.0
367,"Lublin, Śródmieście, Jana Sapiehy","Mieszkanie, 62,50 m², Lublin",2250.0,62.5,51.2600926,22.5715701
368,"Lublin, Czechów, Milenijna","Mieszkanie 4 pokoje ul. Milenijna, blisko Um",2250.0,70,51.2624479,22.5565987
369,"Lublin, Czechów Dolny",Mieszkanie czteropokojowe w nowym buduownictwie,2250.0,67.8,51.2608333,22.5291667
370,"Lublin, LSM, Nałęczowska",Nowe Komfortowe 2pok. blisko centrum for rent klim,2300.0,42,51.2491969,22.5185551
371,"Lublin, Centrum",3 pokoje w Centrum,2300.0,63,52.0339822,23.1192263
372,"Lublin, Czechów, Lawinowa","Mieszkanie, 60 m², Lublin",2300.0,60,51.266505,22.5520498
373,"Lublin, Czechów Dolny","Mieszkanie, 57 m², Lublin",2300.0,57,51.2608333,22.5291667
374,"Lublin, Śródmieście, Czechowska",Śródmieście Internet i garaż w cenie,2300.0,72,51.2523099,22.5522465
375,"Lublin, Czechów Górny, Lawinowa",Czechów Górny blisko AM Chodźki Auchan RENT apartm,2300.0,60,51.266505,22.5520498
376,"Lublin, okol. Uniwersytetu Medycznego","Mieszkanie, 64 m², Lublin",2300.0,64,-1.0,-1.0
377,"Lublin, Czechów Dolny","Mieszkanie, 56 m², Lublin",2300.0,56,51.2608333,22.5291667
378,"Lublin, Stare Miasto","Mieszkanie, 36,74 m², Lublin",2300.0,36.74,51.2473485,22.5688414
379,"Lublin, Śródmieście, Graniczna",Zadbane mieszkanie do wynajęcia!,2300.0,68,51.2425394,22.5602459
380,"Lublin, Centrum","Mieszkanie, 90 m², Lublin",2300.0,90,52.0339822,23.1192263
381,"Lublin, Czechów",Czechów 3 pokoje 60m2 - blisko U.M. ul.Lawinowa,2300.0,60,51.2655556,22.5472222
382,"Lublin, os. Konopnickiej",Metropolitan mieszkanie do wynajęcia,2300.0,58,51.2365964,22.5254332
383,"Lublin, Bazylianówka, Dymowskiego","Mieszkanie, 52 m², Lublin",2300.0,52,-1.0,-1.0
384,"Lublin, LSM, Pana Balcera","Mieszkanie, 58 m², Lublin",2300.0,58,51.2375055,22.5242291
385,"Lublin, Śródmieście, Głęboka","Mieszkanie, 48 m², Lublin",2300.0,48,51.2392336,22.5516753
386,"Lublin, Wieniawa, Legionowa","Mieszkanie, 87 m², Lublin",2300.0,87,51.2506286,22.5318759
387,"Lublin, Abramowice, Ludwika Zamenhofa","Mieszkanie, 100 m², Lublin",2300.0,100,51.2005631,22.5832863
388,"Lublin, Centrum, 3-Maja","Mieszkanie, 40 m², Lublin",2300.0,40,-1.0,-1.0
389,"Lublin, Centrum",Centrum 3 pokojowe mieszkanie na wynajem,2300.0,68,52.0339822,23.1192263
390,"Lublin, Rogatka Warszawska, Puławska","Mieszkanie, 57 m², Lublin",2350.0,57,-1.0,-1.0
391,"Lublin, Czechów, Organowa",Organowa Uniwersytet Medyczny Czechów,2399.0,62.5,51.2590656,22.5582694
392,"Lublin, Centrum","Mieszkanie, 40 m², Lublin",2400.0,40,52.0339822,23.1192263
393,"Lublin, Śródmieście, Szewska","Szewska, Śródmieście, Centrum + msc. parkingowe",2400.0,40,51.2507778,22.565041
394,"Lublin, os. Zana, Pana Balcera","Mieszkanie, 58 m², Lublin",2400.0,58,-1.0,-1.0
395,"Lublin, Ponikwoda, Laurowa ",Nowoczesne dwupoziomowe mieszkanie na wynajem,2400.0,70,51.2764783,22.5814438
396,"Lublin, Centrum",Super mieszkanie centrum Szewska Staszica for rent,2400.0,40,52.0339822,23.1192263
397,"Lublin, Węglin",Super Nowe 3 pokojowe mieszkanie wysoki standard!,2400.0,60,51.2313889,22.4916667
398,"Lublin, LSM, Pana Balcera",***Nowe *** Prestiżowe ***,2400.0,58,51.2375055,22.5242291
399,"Lublin, Śródmieście, Ogrodowa","3 pokoje, 80m2, ul. Ogrodowa, Centrum Śródmieście",2400.0,80,51.2498996,22.5560753
400,"Lublin, Śródmieście, Krucza","Mieszkanie, 100 m², Lublin",2400.0,100,51.2436904,22.5556555
401,"Lublin, Sławinek",Nowe 3 pok. mieszkanie blisko centrum z garażem !,2400.0,75,51.2562379,22.5198078
402,"Lublin, os. Konopnickiej","Mieszkanie, 58 m², Lublin",2400.0,58,51.2365964,22.5254332
403,"Lublin, Sławinek, Sielankowa","Mieszkanie, 71 m², Lublin",2400.0,71,51.2501776,22.5193343
404,"Lublin, os. Nowowiejskiego","Atrakcyjne mieszkanie, 3 pok. ok. Um",2400.0,62.5,51.2599085,22.5550712
405,"Lublin, Czechów, Organowa","Mieszkanie, 72 m², Lublin",2400.0,72,51.2590656,22.5582694
406,"Lublin, Wieniawa, Skautów","Mieszkanie, 68 m², Lublin",2400.0,68,51.2548382,22.5352818
407,"Lublin, Centrum","Mieszkanie, 80 m², Lublin",2400.0,80,52.0339822,23.1192263
408,"Lublin, okol. Uniwersytetu Medycznego","Mieszkanie, 80 m², Lublin",2450.0,80,-1.0,-1.0
409,"Lublin, os. Nowowiejskiego","Mieszkanie, 72 m², Lublin",2450.0,72,51.2599085,22.5550712
410,"Lublin, Śródmieście",Duże 3 pok. mieszkanie 72m2 do wynajęcia Organowa,2450.0,72,51.2472348,22.5555465
411,"Lublin, Centrum, Niecała","Mieszkanie, 76 m², Lublin",2450.0,76,-1.0,-1.0
412,"Lublin, Botanik","Mieszkanie, 65 m², Lublin",2500.0,65,51.267094,22.52233
413,"Lublin, Centrum","Mieszkanie, 85 m², Lublin",2500.0,85,52.0339822,23.1192263
414,"Lublin, Śródmieście","Mieszkanie, 42 m², Lublin",2500.0,42,51.2472348,22.5555465
415,"Lublin, LSM, Pana Balcera",***Nowe *** Prestiżowe ***,2500.0,41,51.2375055,22.5242291
416,"Lublin, Centrum, Ogrodowa",Super mieszkanie centrum ogrodowa for rent Mul Um,2500.0,78,52.0330506,23.1295906
417,"Lublin, Centrum",3 pokojowe mieszkanie w centrum wysoki standard!,2500.0,81,52.0339822,23.1192263
418,"Lublin, Dziesiąta","Mieszkanie, 100 m², Lublin",2500.0,100,51.2158786,22.5797114
419,"Lublin, Wieniawa",Atrakcyjne mieszkanie na wynajem!,2500.0,70,51.2499359,22.5371973
420,"Lublin, Śródmieście, 3 Maja",Mieszkanie w centrum miasta w wysokim standardzie,2500.0,46,51.2497333,22.558225
421,"Lublin, Dziesiąta","Mieszkanie, 100 m², Lublin",2500.0,100,51.2158786,22.5797114
422,"Lublin, Centrum","3 pokoje rozkładowe, bezpośrednio przy Umcs,Kul,Up",2500.0,71.5,52.0339822,23.1192263
423,"Lublin, os. 40-lecia","Mieszkanie, 92 m², Lublin",2500.0,92,50.5368694,22.7253748
424,"Lublin, Centrum",Super Nowe mieszkanie 49 m2 centrum For Rent Mul,2500.0,49,52.0339822,23.1192263
425,"Lublin, LSM, Pana Balcera",Metropolitan Widok na miasto + parking + siłownia,2500.0,41,51.2375055,22.5242291
426,"Lublin, Centrum","Mieszkanie, 97,20 m², Lublin",2500.0,97.2,52.0339822,23.1192263
427,"Lublin, os. Nowowiejskiego, Organowa",3-bedroom apartment near Medical University Lublin,2500.0,66,-1.0,-1.0
428,"Lublin, Czechów",Mieszkanie dwupoziomowe 110 mkw,2500.0,110,51.2655556,22.5472222
429,"Lublin, Centrum,  Stanisława Leszczyńskiego",Super apartament przy Ogrodzie Saskim z garażem,2500.0,58,-1.0,-1.0
430,"Lublin, Śródmieście","Apartament do wynajęcia, Śródmiescie",2500.0,72,51.2472348,22.5555465
431,"Lublin, Centrum",Apartament w Centrum wysoki standard,2500.0,70,52.0339822,23.1192263
432,"Lublin, Tatary,  Gospodarcza",Dwupokojowe mieszkanie Lublin Tatary,900.0,34,51.2434573,22.5978698
433,"Lublin, Abramowice,  Spadochroniarzy",wynajmę mieszkanie 50 m2,1200.0,50,-1.0,-1.0
434,"Lublin, Czuby, Kryształowa 31",Mieszkanie na wynajem w atrakcyjnej dzielnicy,1600.0,39,-1.0,-1.0
435,"Lublin, Centrum","Mieszkanie, 97,20 m², Lublin",2500.0,97.2,52.0339822,23.1192263
436,"Lublin, Śródmieście",Mieszkanie 3 pokoje Wiktoryn ul. Dolińskiego,2500.0,54,51.2472348,22.5555465
437,"Lublin, LSM, Jana Sawy",Apartamentowiec z widokiem na park cena z opłatami,2500.0,71,51.2390918,22.5250551
438,"Lublin, Centrum,  Stanisława Leszczyńskiego",Super apartament przy Ogrodzie Saskim z garażem,2500.0,58,-1.0,-1.0
439,"Lublin, Czechów",Mieszkanie dwupoziomowe 110 mkw,2500.0,110,51.2655556,22.5472222
440,"Lublin, Centrum",Apartament w Centrum wysoki standard,2500.0,70,52.0339822,23.1192263
441,"Lublin, Centrum, Dolińskiego",Nowe 3pok Unicka Wiktoryn od zaraz for rent Mul,2500.0,53,-1.0,-1.0
442,"Lublin, LSM, Pana Balcera",Nowe Metropolitan Pana Balcera Lsm wysoki standard,2500.0,41,51.2375055,22.5242291
443,"Lublin, os. Nowowiejskiego, Organowa",3-bedroom apartment near Medical University Lublin,2500.0,66,-1.0,-1.0
444,"Lublin, Węglinek, Kryształowa","Mieszkanie, 67 m², Lublin",2500.0,67,51.2231532,22.4992823
445,"Lublin, Wieniawa, Leszczyńskiego","Mieszkanie, 38 m², Lublin",2500.0,38,51.2508257,22.5455014
446,"Lublin, Centrum, Ochotnicza","Mieszkanie, 73 m², Lublin",2500.0,73,-1.0,-1.0
447,"Lublin, Rogatka Warszawska, Sielankowa","Mieszkanie, 75 m², Lublin",2500.0,75,-1.0,-1.0
448,"Lublin, Botanik, Kasztelańska","Mieszkanie, 46 m², Lublin",2500.0,46,-1.0,-1.0
449,"Lublin, Botanik, Kasztelańska","Mieszkanie, 46 m², Lublin",2500.0,46,-1.0,-1.0
450,"Lublin, Czechów Górny, Józefa Śliwińskiego","Mieszkanie, 68,40 m², Lublin",2500.0,68.4,51.2732021,22.5544554
451,"Lublin, Konstantynów, Aleja Kraśnicka","Mieszkanie, 165 m², Lublin",2500.0,165,51.2437876,22.5096576
452,"Lublin, Rury, Wileńska","Mieszkanie, 55 m², Lublin",2500.0,55,51.2443155,22.5237215
453,"Lublin, Czechów Górny, Północna","Mieszkanie, 84 m², Lublin",2500.0,84,51.2563418,22.5414618
454,"Lublin, Czechów, Radzyńska","Mieszkanie, 58 m², Lublin",2500.0,58,51.2598541,22.5500036
455,"Lublin, Węglin, Poznańska","Mieszkanie, 120 m², Lublin",2500.0,120,51.2322931,22.498743
456,"Lublin, Centrum",Super mieszkanie w centrym! 72m2 for rent Mul,2500.0,72,52.0339822,23.1192263
457,"Lublin, Rogatka Warszawska, Żołnierska","Mieszkanie, 50 m², Lublin",2500.0,50,-1.0,-1.0
458,"Lublin, Centrum","Mieszkanie, 76 m², Lublin",2500.0,76,52.0339822,23.1192263
459,"Lublin, Rogatka Warszawska,  gen. Władysława Sikorskiego","Mieszkanie, 73 m², Lublin",2500.0,73,-1.0,-1.0
460,"Lublin, Centrum","Mieszkanie, 70 m², Lublin",2600.0,70,52.0339822,23.1192263
461,"Lublin, Sławinek","Mieszkanie, 75 m², Lublin",2600.0,75,51.2562379,22.5198078
462,"Lublin, Śródmieście, Okopowa","Mieszkanie, 85 m², Lublin",2600.0,85,51.2447272,22.5584675
463,"Lublin, Śródmieście, Gustawa Dolińskiego",Mieszkanie dwupokojowe z salonem - Wiktoryn,2600.0,55,51.2580093,22.5746857
464,"Lublin, Czechów Górny","Mieszkanie, 67 m², Lublin",2600.0,67,51.2636111,22.5394445
465,"Lublin, Centrum","Mieszkanie, 80 m², Lublin",2600.0,80,52.0339822,23.1192263
466,"Lublin, Śródmieście, Tadeusza Dymowskiego","Mieszkanie, 54 m², Lublin",2600.0,54,-1.0,-1.0
467,"Lublin, Centrum","Mieszkanie, 78 m², Lublin",2600.0,78,52.0339822,23.1192263
468,"Lublin, Śródmieście","Mieszkanie, 84 m², Lublin",2600.0,84,51.2472348,22.5555465
469,"Lublin, Centrum","Mieszkanie w samym centrum Lublina, ul. Cicha",2600.0,74,52.0339822,23.1192263
470,"Lublin, Centrum, Prymasa Stefana Wyszyńskiego",Klimatyczne mieszkanie z antresolą! Hit!,2600.0,60,-1.0,-1.0
471,"Lublin, okol. Uniwersytetu Medycznego","Komfortowe mieszkanie, Śródmieście,ok. Um",2600.0,53,-1.0,-1.0
472,"Lublin, Śródmieście, Fryderyka Chopina","Mieszkanie, 90 m², Lublin",2600.0,90,51.2476408,22.5546405
473,"Lublin, okol. Uniwersytetu Medycznego",Trzypokojowe mieszkanie na osiedlu Wiktoryn,2600.0,60,-1.0,-1.0
474,"Lublin, Centrum, Dolińskiego",Nowe duże 3 pok. Unicka Wiktoryn for rent Mul 60m2,2600.0,60,-1.0,-1.0
475,"Lublin, Centrum",DO WYNAJECIA PIEKNE MIESZKANIE W CENTRUM MIASTA! K,2700.0,58,52.0339822,23.1192263
476,"Lublin, Centrum","Mieszkanie, 70 m², Lublin",2700.0,70,52.0339822,23.1192263
477,"Lublin, Węglinek",Dwupoziomowe klimatyczne na Czubach,2700.0,58.9,51.2182476,22.4841711
478,"Lublin, Śródmieście","Mieszkanie, 104 m², Lublin",2700.0,104,51.2472348,22.5555465
479,"Lublin, Wieniawa,  Racławickie",Mieszkanie 4 pokoje blisko centrum,2700.0,103,51.2509612,22.5289982
480,"Lublin, Ponikwoda, Aroniowa",*Kameralny budynek*tylko 4 lokale*garaże w cenie*,2700.0,120,51.2658521,22.5798363
481,"Lublin, Centrum","Mieszkanie, 106 m², Lublin",2700.0,106,52.0339822,23.1192263
482,"Lublin, Ponikwoda, Aroniowa",*Kameralny budynek*tylko 4 lokale*garaże w cenie*,2700.0,120,51.2658521,22.5798363
483,"Lublin, okol. Uniwersytetu Medycznego","Salon + 2 sypialnie,komfortowe,Śródmieście",2800.0,60,-1.0,-1.0
484,"Lublin, Śródmieście, Unicka",Nowe mieszkanie z garażem,2800.0,53,51.2582975,22.5726557
485,"Lublin, Centrum, Graniczna",Super 75m2 3pok. centrum Narutowicza Graniczna,2800.0,75,-1.0,-1.0
486,"Lublin, Czechów Górny","Salon + 2 sypialnie, Czechów, ok. Auchan",2800.0,64,51.2636111,22.5394445
487,"Lublin, Centrum, Unicka",komfortowe centrum unicka wiktoryn for rent Mul Um,2800.0,53,-1.0,-1.0
488,"Lublin, Śródmieście, Gustawa Dolińskiego",Wiktoryn Chodźki Unicka blisko Um,2800.0,60,51.2580093,22.5746857
489,"Lublin, okol. Uniwersytetu Medycznego","Komfortowy apartament, Śródmieście, ok. Um",2800.0,53,-1.0,-1.0
490,"Lublin, Śródmieście, Niecała","Mieszkanie, 80 m², Lublin",2800.0,80,51.2511754,22.560845
491,"Lublin, okol. Uniwersytetu Medycznego","Mieszkanie, 53 m², Lublin",2800.0,53,-1.0,-1.0
492,"Lublin, Bazylianówka, Gustawa Dolińskiego","Mieszkanie, 59 m², Lublin",2800.0,59,-1.0,-1.0
493,"Lublin, Czechów, Kurantowa","Mieszkanie, 62,20 m², Lublin",2800.0,62.2,51.2608658,22.5426669
494,"Lublin, Stare Miasto, Rynek",Apartament Stare Miasto,2800.0,67,51.24780955,22.5675328021686
495,"Lublin, Rogatka Warszawska","Mieszkanie, 70 m², Lublin",2800.0,70,51.2514068,22.5283868
496,"Lublin, Śródmieście, Solna",Ciche mieszkanie w ścisłym centrum,2800.0,105,51.2446879,22.5551369
497,"Lublin, Czuby","Mieszkanie, 70 m², Lublin",2800.0,70,51.2285398,22.5209437
498,"Lublin, Czechów, Doktora Witolda Chodźki","Mieszkanie, 61,50 m², Lublin",2800.0,61.5,51.2640338,22.5625247
499,"Lublin, Śródmieście, 3 Maja","Mieszkanie, 100 m², Lublin",2800.0,100,51.2497333,22.558225
500,"Lublin, Dziesiąta, Ksawerego Dunikowskiego","Mieszkanie, 75 m², Lublin",2800.0,75,51.2148914,22.5713589
501,"Lublin, Kalinowszczyzna, Unicka","Mieszkanie, 53 m², Lublin",2800.0,53,51.256428,22.575168
502,"Lublin, Wieniawa","Mieszkanie, 105 m², Lublin",2800.0,105,51.2499359,22.5371973
503,"Lublin, Śródmieście, Szewska","Luksusowe 2 pokoje w sercu miasta, 45m2, okazja!",2900.0,45,51.2507778,22.565041
504,"Lublin, Wieniawa,  Legionowa","Nowe, umeblowane, bez opłat dodatkowych",1650.0,40,51.2506286,22.5318759
505,"Lublin, Rogatka Warszawska,  Baśniowa","Wynajmę mieszkanie 2 pokojowe po remoncie, Rogatka",1700.0,49,-1.0,-1.0
506,"Lublin, Wigilijna",mieszkanie 4 pokojowe 80mkw ul Wigilijna 4,2000.0,80,51.2320695,22.5387107
507,"Lublin, okol. Uniwersytetu Medycznego","Mieszkanie, 60 m², Lublin",2900.0,60,-1.0,-1.0
508,"Lublin, Czechów Dolny","Mieszkanie, 60 m², Lublin",2900.0,60,51.2608333,22.5291667
509,"Lublin, Czechów, Józefa Mackiewicza","Mieszkanie, 56 m², Lublin",2900.0,56,51.2696677,22.5636821
510,"Lublin, Śródmieście",Duże mieszkanie do wynajęcia - również pod biuro.,2952.0,100,51.2472348,22.5555465
511,"Lublin, Rogatka Warszawska","Mieszkanie, 105 m², Lublin",3000.0,105,51.2514068,22.5283868
512,"Lublin, Kalinowszczyzna, Niepodległości","Mieszkanie, 107 m², Lublin",3000.0,107,51.2580556,22.5925
513,"Lublin, Wieniawa","Mieszkanie, 105 m², Lublin",3000.0,105,51.2499359,22.5371973
514,"Lublin, Śródmieście, Wschodnia","Lublin, Centrum, 4 Pokoje Do Wynajęcia, Apartament",3000.0,140,51.2423185,22.5557621
515,"Lublin, Śródmieście, Karmelicka",*** 2 Pokoje *** Śródmieście ***,3000.0,68,51.2495521,22.5636408
516,"Lublin, Centrum, Fryderyka Chopina","Mieszkanie, 83 m², Lublin",3000.0,83,52.0308325,23.1134420359092
517,"Lublin, LSM","Mieszkanie, 50 m², Lublin",3000.0,50,51.2416257,22.5293341
518,"Lublin, Centrum","Mieszkanie, 64,50 m², Lublin",3000.0,64.5,52.0339822,23.1192263
519,"Lublin, os. Konopnickiej, Pana Balcera",Komfort. apartament 3-pok Lublin Metropolitan Park,3000.0,68.5,-1.0,-1.0
520,"Lublin, Czechów Dolny, Szeligowskiego","Mieszkanie, 56 m², Lublin",3000.0,56,51.2639484,22.5568978
521,"Lublin, Czechów Dolny, Szeligowskiego","Mieszkanie, 61 m², Lublin",3000.0,61,51.2639484,22.5568978
522,"Lublin, Kalinowszczyzna",Mieszkanie 100m2 dla firmy,3000.0,100,51.2548082,22.5861517
523,"Lublin, Centrum","Mieszkanie, 47 m², Lublin",3000.0,47,52.0339822,23.1192263
524,"Lublin, Abramowice, Abramowicka","Mieszkanie, 60 m², Lublin",3000.0,60,51.1970839,22.5859041
525,"Lublin, Sławinek, Skalista","Mieszkanie, 137 m², Lublin",3000.0,137,-1.0,-1.0
526,"Lublin, Centrum, Chopina","Mieszkanie, 83 m², Lublin",3000.0,83,52.0308325,23.1134420359092
527,"Lublin, Czechów Dolny","Mieszkanie, 54 m², Lublin",3000.0,54,51.2608333,22.5291667
528,"Lublin, Centrum, Szeligowskiego 8","Apart. z miejscem parking, z widokiem na Lublin",3150.0,54,-1.0,-1.0
529,"Lublin, Sławin, Willowa","Mieszkanie, 120 m², Lublin",3200.0,120,51.2679266,22.5125805
530,"Lublin, Centrum","Piękny Apartament W Ścisłym Centrum,",3200.0,80,52.0339822,23.1192263
531,"Lublin, Czechów Dolny, Szeligowskiego",Super Nord Park Szeligowskiego for rent Mul,3200.0,65,51.2639484,22.5568978
532,"Lublin, Stare Miasto, Rynek",Apartament na Starym Mieście.,3200.0,80,51.24780955,22.5675328021686
533,"Lublin,  Rotmistrza Witolda Pileckiego",Mieszkanie 65 m2 Chodźki Uniwersytet Medyczny,3200.0,65,51.2648223,22.5637579
534,"Lublin, Centrum, Dolińskiego",Nowe duże 3 pok. Unicka Wiktoryn for rent Mul Um,3300.0,60,-1.0,-1.0
535,"Lublin, Śródmieście, Spokojna",Apartament W Centrum Lublina,3300.0,93,51.2503174,22.5537375
536,"Lublin, okol. Politechniki","mieszkanie W Centrum, Wysoki standard! 100 Mkw",3300.0,120,-1.0,-1.0
537,"Lublin, Czechów Dolny","Mieszkanie, 62 m², Lublin",3300.0,62,51.2608333,22.5291667
538,"Lublin, Śródmieście,  Spokojna",Ekskluzywny apartament w centrum miasta,3300.0,93,51.2503174,22.5537375
539,Lublin,Ekskluzywny apartament do wynajęcia,3300.0,61,51.250559,22.5701022
540,"Lublin, Czechów, Tadeusza Szeligowskiego",***Apartament***Z Garażem***,3300.0,65,51.2672635,22.5583604
541,"Lublin, Czechów, Szeligowskiego","Mieszkanie, 65 m², Lublin",3300.0,65,51.2672635,22.5583604
542,"Lublin, LSM",Komfortowe mieszkanie z dużym tarasem Lsm,3500.0,72,51.2416257,22.5293341
543,"Lublin, Sławinek",Mieszkanie dla 5 osób,3500.0,65,51.2562379,22.5198078
544,"Lublin, Czechów","Apartament na wynajem, 3 pokoje, b. blisko Um",3500.0,70,51.2655556,22.5472222
545,"Lublin, Śródmieście, Fryderyka Chopina","Ekskluzywny apartament w centrum, 60m2, 2 pokoje",3500.0,60,51.2476408,22.5546405
546,"Lublin, Śródmieście, Krucza","Ekskluzywne, wyjątkowe 2 pokoje w centrum, 70m2",3500.0,70,51.2436904,22.5556555
547,"Lublin, LSM, Wileńska",Nowoczesny apartament blisko centrum,3500.0,70,51.2443155,22.5237215
548,"Lublin, Węglin",Ekskuzywny apartament na Węglinie,3500.0,72,51.2313889,22.4916667
549,"Lublin, os. Mickiewicza","Mieszkanie, 72 m², Lublin",3500.0,72,51.2418491,22.526549
550,Lublin,"Mieszkanie, 70 m², Lublin",3500.0,70,51.250559,22.5701022
551,"Lublin, Stare Miasto, Rynek",Apartament na Starym Mieście.,3500.0,90,51.24780955,22.5675328021686
552,"Lublin, Centrum",Wyjątkowy apartament w centrum,3500.0,120,52.0339822,23.1192263
553,"Lublin, Stare Miasto",Trzypokojowe mieszkanie na Starym Mieście Lublina,3500.0,98,51.2473485,22.5688414
554,"Lublin, Czechów Górny","Mieszkanie, 75 m², Lublin",3500.0,75,51.2636111,22.5394445
555,"Lublin, Centrum",Super 3.pok centrum rachunki wliczone for rent mul,3500.0,100,52.0339822,23.1192263
556,"Lublin, Śródmieście, Niecała",Apartament Lublin Śródmieście ul. Niecała 3 pokoje,3500.0,84,51.2511754,22.560845
557,"Lublin, Centrum",Super Ekskluzywny Apartament Wysoki stand. Centrum,3500.0,120,52.0339822,23.1192263
558,"Lublin, Stare Miasto","Mieszkanie, 55 m², Lublin",3500.0,55,51.2473485,22.5688414
559,"Lublin, Bronowice, Żelazna","Mieszkanie, 60 m², Lublin",3500.0,60,-1.0,-1.0
560,"Lublin, LSM, Wileńska","Mieszkanie, 75 m², Lublin",3500.0,75,51.2443155,22.5237215
561,"Lublin, Śródmieście, Niecała",Atrakcyjne mieszkanie w ścisłym centrum,3600.0,100,51.2511754,22.560845
562,"Lublin, Sławin, Świerkowa","Mieszkanie, 150 m², Lublin",3700.0,150,51.2698616,22.5042812
563,"Lublin, Śródmieście","Mieszkanie, 83 m², Lublin",3900.0,83,51.2472348,22.5555465
564,"Lublin, Centrum","Apartament 3 pokojowy w Centrum, ul. Narutowicza",3900.0,122,52.0339822,23.1192263
565,"Lublin, Centrum","Mieszkanie, 100 m², Lublin",4000.0,100,52.0339822,23.1192263
566,"Lublin, Centrum, Spokojna",Centrum 93m2 Spokojna ochrona parking for rent Mul,4000.0,93,52.0379354,23.1217375
567,"Lublin, Centrum",Ekskluzywny Apartament w Centrum Miasta Wieniawska,4000.0,100,52.0339822,23.1192263
568,"Lublin, Centrum, Niecała","Luksusowy, niepowtarzalny apartament w Centrum!",4000.0,82.94,-1.0,-1.0
569,"Lublin, Centrum",Piękny Apartament w centrum 100 m2 faktura Vat,4000.0,100,52.0339822,23.1192263
570,"Lublin,  Dolna Panny Marii",Luksusowy apartament 100m + garaż,4000.0,100,51.2425357,22.5606476
571,"Lublin, Śródmieście,  Stanisława Leszczyńskiego","Apartament Lublin, ul. Leszczyńskiego,99m2,WYNAJEM",4000.0,99,51.2502874,22.5500099
572,"Lublin, Stare Miasto",Piękny Apartament Na Wynajem Na Starym Mieście,4000.0,90,51.2473485,22.5688414
573,"Lublin, Śródmieście, Czechowska","Mieszkanie, 106 m², Lublin",4300.0,106,51.2523099,22.5522465
574,"Lublin, Miasteczko Akademickie","Mieszkanie, 105 m², Lublin",4350.0,105,51.2466616,22.5423062
575,"Lublin, Wieniawa","Mieszkanie, 55 m², Lublin",4400.0,55,51.2499359,22.5371973
576,"Lublin, Rudnik, Laurowa",2 pokoje Rudnik,1300.0,48,51.2764783,22.5814438
577,"Lublin, Wigilijna",mieszkanie 4 pokojowe 80mkw ul Wigilijna 4,2000.0,80,51.2320695,22.5387107
578,"Lublin, Śródmieście,  Spokojna",Ekskluzywny apartament w centrum miasta,3300.0,93,51.2503174,22.5537375
579,"Lublin, Czechów Dolny","Mieszkanie, 140 m², Lublin",4500.0,140,51.2608333,22.5291667
580,"Lublin, Dolna Panny Marii",Apartament w centrum Lublina wysoki standard.,4900.0,100,51.2425357,22.5606476
581,"Lublin, Śródmieście, Dolna Panny Marii","Mieszkanie, 100 m², Lublin",4900.0,100,51.2425357,22.5606476
582,"Lublin, Dziesiąta,  Nowy Świat 5F",Kawalerka 27m2 Nowy Świat I piętro,4900.0,27.27,51.2279185,22.5709555
583,"Lublin, Centrum","Mieszkanie, 105 m², Lublin",5000.0,105,52.0339822,23.1192263
584,"Lublin, Wiśniowy Sad",Ekskluzywny Apartament do wynajęcia blisko centrum,5000.0,115,-1.0,-1.0
585,"Lublin, Centrum","Mieszkanie, 117 m², Lublin",5600.0,117,52.0339822,23.1192263
586,"Lublin, Centrum","Mieszkanie, 175 m², Lublin",5900.0,175,52.0339822,23.1192263
587,"Lublin, Śródmieście, 3 Maja",Lublin ul. 3maja inwestycja Kamienica pod 7,6000.0,104,51.2497333,22.558225
