,location,name,price,space,latitude,longitude
172,"Lublin, Wrotków,  Ludwika Zalewskiego",Mieszkanie na Zalewskiego! Wynajmę!,1750.0,60,51.1964992,22.5447233
173,"Lublin, Bazylianówka","Mieszkanie, 51 m², Lublin",1800.0,51,51.2625344,22.5769461
174,"Lublin, okol. Politechniki","Mieszkanie, 52 m², Lublin",1800.0,52,-1.0,-1.0
175,"Lublin, Czechów",Mieszkanie na wynajem blisko Um 1800,1800.0,44,51.2655556,22.5472222
176,"Lublin, Wiśniowy Sad","Mieszkanie, 60 m², Lublin",1800.0,60,-1.0,-1.0
177,"Lublin, Centrum","Mieszkanie, 48 m², Lublin",1800.0,48,52.0339822,23.1192263
178,"Lublin,  Witolda Chodźki",2 pokoje komfort/2B apartment for rent ul. Chodzki,1800.0,55,51.2634382,22.562888
179,"Lublin, Czechów Dolny","Mieszkanie, 57 m², Lublin",1800.0,57,51.2608333,22.5291667
180,"Lublin, Dziesiąta","Mieszkanie, 100 m², Lublin",1800.0,100,51.2158786,22.5797114
181,"Lublin, Centrum","Mieszkanie, 100 m², Lublin",1800.0,100,52.0339822,23.1192263
182,"Lublin, Centrum","Mieszkanie, 60 m², Lublin",1800.0,60,52.0339822,23.1192263
183,"Lublin, Czechów,  Józefa Mackiewicza",Nowe mieszkanie przy UM - Lublin ul. Mackiewicza,1800.0,55,51.2696677,22.5636821
184,"Lublin, Węglinek",3 pokoje z garażem Czuby Węglinek,1800.0,58,51.2182476,22.4841711
185,"Lublin, Śródmieście, I Armii Wojska Polskiego",*** 2 Pokoje *** Centrum *** Blisko Uczelni ***,1800.0,56,51.2489223,22.556028
186,"Lublin, Czuby,  Bursztynowa","wynajmę mieszkanie 3-pokojowe, czuby, bursztynowa",1800.0,51.4,51.2228016,22.5176387
187,"Lublin, Czechów Górny",Mieszkanie w pobliżu Uniwersytetu Medycznego,1800.0,56,51.2636111,22.5394445
188,"Lublin, Czechów Dolny",Piękne mieszkanie na Czechowie,1800.0,60,51.2608333,22.5291667
189,"Lublin, os. Nowowiejskiego","Mieszkanie, 51 m², Lublin",1800.0,51,51.2599085,22.5550712
190,"Lublin, Centrum, Krakowskie Przedmieście","Mieszkanie, 50 m², Lublin",1800.0,50,-1.0,-1.0
191,"Lublin, os. Zana","Mieszkanie, 70 m², Lublin",1800.0,70,-1.0,-1.0
192,"Lublin, Dziesiąta","Mieszkanie, 90 m², Lublin",1800.0,90,51.2158786,22.5797114
